Name	Banner Link	icon link	link	Is On SteamRevolver?	Is it Buzzheather or google drive or both	Is It Working?	Straight download link	new?
Resident Evil 4 HD	https://file.garden/Zya8-gItADlYXzdp/rd4.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/d76d5d020a5d7d12be1977c89016c97d.jpg	https://drive.google.com/file/d/1zMc4A_4sL3VXZdbJvVPtr4M1hys7KBuj/view?usp=sharing	Yes	google drive	Yes		
Resident Evil 5 (2009)	https://file.garden/Zya8-gItADlYXzdp/re5.jpg	https://file.garden/Zya8-gItADlYXzdp/re52.png	https://drive.google.com/file/d/1IFRQzVgfRewj7bmiPOWqbg66Soyjalg9/view?usp=sharing	Yes	google drive	Yes		
Resident Evil 6	https://file.garden/Zya8-gItADlYXzdp/re6.jpg	https://file.garden/Zya8-gItADlYXzdp/re52.png	https://drive.google.com/file/d/17kAwE1qTBAULvM-l-KS8onbPsF9hQxE2/view?usp=sharing	Yes	google drive	Yes		
Resident Evil 7	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/gd2/images%20(22).jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images%20(23).jpg	https://drive.google.com/file/d/1oI9V8dMuBOWVsrmFy6fivQMcr1YpEz58/view?usp=sharing	Yes	google drive	Yes		
Resident Evil Village	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images%20(24).jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/resident-evil-village-steam-page-update-contains-new-image-v0-4njgamy0dyz51.webp	https://drive.google.com/file/d/1Jq5g2rp_GcWt27X5Z4nLQHTwx8l39Wc_/view?usp=sharing	Yes	google drive	Yes		
Resident Evil 0	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images%20(25).jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images%20(26).jpg	https://drive.google.com/file/d/1C6Tb0On4cBgibsKL3pEyyQeMGfwqHsAT/view?usp=sharing	Yes	google drive	Yes		
Resident Evil Revelations	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images%20(27).jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/Resident_evil_rev._2012_Capcom.png	https://drive.google.com/file/d/1FV94jesyrnbBywP-joodHQCmmCGZ9uXd/view?usp=sharing	Yes	google drive	Yes		
Portal	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images%20(28).jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images%20(29).jpg	https://drive.google.com/file/d/1tfzt5SCI1X-Wr4eLs5jHpvsRpUJNi47Z/view?usp=sharing	Yes	google drive	Yes		
Watch Dogs 	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/watchdogs.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/aaddadadadadadda.png	https://drive.google.com/file/d/19E5_BEGvNnuvbPWLERHkBM1UeWlMbXkd/view?usp=sharing	Yes	google drive	Yes		
Detroit Become Human	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/something-ive-always-wondered-why-does-the-game-banner-show-v0-87o85wpg7n9f1.webp	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/TwfSb1cX_400x400.jpg	https://drive.google.com/file/d/15J6AGVUOuAFIOAm-s2Sr_CRQ3_BOW3Zn/view?usp=sharing	Yes	google drive	Yes		
FNaF Secret of the minic	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/33c3647b285f31af940a311b3b8a8a25.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/d0e4fe3cc660161e22bb18a6fa58da73.ico	https://drive.google.com/file/d/1YQcDV3iuyVljGkBIcsR-PqXDTs11loji/view?usp=sharing	Yes	google drive	Yes		
